song_name,artist,danceability,energy,valence,tempo
Matros I Skumsprøjt Med Stormvejr og Stiv Kuling I Ramsaltet Rum Sø,Hva Snakker Du Om?;Anders Matthesen;Bossy Bo,0.698,0.438,0.691,139.707
Skymning,Vanja Lind,0.256,0.00409,0.437,101.043
Good Times Bad Times - 1993 Remaster,Led Zeppelin,0.476,0.717,0.753,93.584
High Fells,Full Of Hell,0.169,0.724,0.181,119.21
Dhooramithu Nee,Najim Arshad,0.744,0.422,0.637,109.95
Vivo Agradecido,Jeff Morales,0.597,0.824,0.845,187.736
Scourge of the Seas,Alphaxone;Onasander;protoU,0.194,0.626,0.0392,142.944
Row Row Row Your Boat,Super Simple Songs,0.688,0.311,0.36,115.573
Clear Skyz - Mixed,DJ Die,0.461,0.991,0.706,173.901
Split,STUCA,0.617,0.825,0.345,153.914
Lust for a Vampyr,I Monster,0.588,0.503,0.395,95.734
Don't Waste Your Anger,The Smith Street Band,0.252,0.825,0.134,125.021
Land of Confusion,Disturbed,0.553,0.991,0.324,114.919
"MIA (Feat. CAMO, WOODZ)",GEMINI;CAMO;WOODZ,0.534,0.685,0.445,84.912
Ten Thousand Words,The Avett Brothers,0.442,0.302,0.39,141.615
You Go To Art School - Demo Version,Anal Cunt,0.311,0.985,0.132,126.542
PvP,Amaranthe,0.436,0.963,0.515,169.921
Ooo La La,Rozei,0.669,0.776,0.477,100.019
Tevye’s Dream,Danny Burstein;Jessica Vosk;Adam Grupper;Lori Wilner;2016 Broadway Cast;Jessica Hecht,0.596,0.411,0.478,75.897
We're Not Gonna Take It,Twisted Sister,0.502,0.925,0.923,149.188
BIBA,Marshmello;Pritam,0.587,0.963,0.491,127.842
Chroma Light,Robert Hood,0.731,0.675,0.21,130.004
Severek Ayrılanlar,Ayna,0.558,0.687,0.298,113.037
On My Own,Beddy Rays,0.41,0.949,0.49,145.975
Night Visions,The Lillingtons,0.576,0.948,0.68,95.01
Reach Out,Dougal;Gammer;Cat Knight,0.484,0.958,0.114,170.053
Overboard,Vwillz,0.756,0.533,0.636,101.998
Schaltzentrale - Joker Remake,Boris Brejcha,0.814,0.748,0.0394,125.011
I Do,Morgan Evans,0.509,0.761,0.71,176.054
Áries,Xamã;Bagua Records;Neo Beats,0.723,0.653,0.792,137.1
Emkay,Bonobo,0.776,0.474,0.195,130.025
Sloth - Alles Kapot Edit,Sins Of Insanity;Hardfunction,0.625,0.96,0.479,155.052
Hyperion,Gesaffelstein,0.636,0.877,0.0764,129.214
Milano,Henrik Janson,0.732,0.203,0.383,119.805
Aquella Estrella - Remasterizado 2016,Riff,0.546,0.844,0.561,137.545
Miso Shiru,Bogdan Raczynski,0.496,0.986,0.345,122.935
Dolores,Eddie Noack,0.619,0.475,0.542,119.214
Caminito - Remastered,Libertad Lamarque,0.48,0.101,0.345,111.087
Sex i taxin,Hov1,0.76,0.376,0.518,94.938
Грешная страсть,Dimash Qudaibergen,0.282,0.461,0.217,129.353
Didn't I,OneRepublic,0.611,0.61,0.242,123.943
RepeatInfinite,surrenderdorothy,0.6,0.245,0.179,80.278
Bad Memories (feat. Elley Duhé & FAST BOY),MEDUZA;James Carter;Elley Duhé;FAST BOY,0.607,0.767,0.662,123.998
Nowesind,Jacob David,0.304,0.0902,0.318,114.487
(We're Not) The Jet Set,George Jones;Tammy Wynette,0.355,0.272,0.447,181.275
Give Me The Sun,Triomphe,0.791,0.633,0.0732,108.0
Nada,Cali Y El Dandee;Danna Paola,0.684,0.808,0.712,173.905
Solid Ground,Michael Kiwanuka,0.398,0.176,0.0691,139.941
Fearless - Live,Jesus Culture;Kim Walker-Smith,0.548,0.737,0.407,119.974
I Don't Trust Nobody - Slowed and Reverb,ZRobb;Shiloh Dynasty,0.483,0.24,0.506,95.164
Atmosphere,BLVKSHP,0.0954,0.0847,0.0356,164.752
Fuego,DJ Snake;Sean Paul;Anitta;Tainy,0.78,0.856,0.605,104.904
Viaje,Farruko,0.705,0.799,0.658,122.018
No Excuses,Alice In Chains,0.527,0.838,0.721,117.454
Wash,Timothy Infinite,0.751,0.615,0.535,81.01
Better Man,Pearl Jam,0.445,0.671,0.267,125.712
Learn To Love Again,Audien,0.53,0.81,0.415,167.842
Pot-Pourri: Me Faz um Dengo / Disritmia - Ao Vivo,Roberta Sá;Martinho Da Vila,0.644,0.685,0.563,87.91
¿Cómo Podré Disimular?,Andy Montañez,0.756,0.915,0.767,94.223
Hw4 (Halb Mensch Halb Tier),Kreisligalegende,0.653,0.948,0.869,132.046
Quiero Vivir a Tu Lado,Miranda!,0.651,0.848,0.662,133.036
千軍万馬,Yasuharu Takanashi,0.169,0.241,0.0734,125.408
Eu Nunca Disse Adeus,Capital Inicial,0.299,0.686,0.366,145.971
らしくない,NMB48,0.468,0.946,0.596,152.04
If I Could,Helen Jane Long,0.254,0.122,0.102,164.721
Maula,Anuv Jain,0.327,0.325,0.359,84.951
Capitán América,Las Pelotas,0.617,0.789,0.934,125.006
Saturnus,Hate,0.408,0.965,0.0791,95.992
Tight Rope XX,Lacuna Coil,0.356,0.929,0.298,164.009
Shout to the Lord - Live,Hillsong Worship;Integrity's Hosanna! Music;Darlene Zschech,0.389,0.305,0.263,74.921
¡Sueltalo!,Gisela,0.67,0.422,0.359,137.046
Como Tu,Tito Allen,0.596,0.802,0.815,84.497
Disparada,Daniel,0.515,0.718,0.523,111.318
Big Head,Tom Papa,0.442,0.917,0.415,84.049
Remember Who You Are,Firebeatz,0.644,0.626,0.292,129.861
De Joelhos,Kiara Vitória;Kellen Byanca,0.589,0.563,0.366,136.052
Quatro Estações,Kleber Lucas,0.604,0.363,0.363,69.969
Greenland,Emancipator,0.592,0.392,0.105,98.734
changes,Jebase;Xeinn,0.704,0.536,0.155,130.022
Eski Bi' Numara,Mode XL,0.777,0.723,0.595,111.056
Quinta-Feira,Charlie Brown Jr.,0.724,0.646,0.824,143.674
Aurora,Martin Garrix;Blinders,0.514,0.905,0.315,128.01
You're Toxic,Deborah de Luca,0.786,0.908,0.0543,134.995
Anima Mea,Sajanka;WHITENO1SE,0.596,0.86,0.365,155.041
BassBoom - Original,Psyko Punkz,0.736,0.848,0.345,150.025
INFERNO,Sub Urban;Bella Poarch,0.82,0.611,0.637,127.883
"Pallavicino: L'Antiope: ""Sdegni, furori barbari"" (Celinda)",Carlo Pallavicino;Lea Desandre;Jupiter;Thomas Dunford,0.398,0.33,0.435,133.106
Remorse,Teielte,0.533,0.288,0.585,160.031
Ayarpadi,Gowry Lekshmi,0.617,0.3,0.497,127.337
Wrong Way Street,Trampled by Turtles,0.609,0.801,0.939,100.678
Parallels,As I Lay Dying,0.282,0.97,0.0391,200.005
Vampire,Ahoora,0.503,0.901,0.806,83.009
Shifting Rainfall,Rain Sounds,0.171,0.992,1e-05,68.007
White Noise - Loopable With No Fade,White Noise Sleep Sounds;Sleep Sound Library,0.0,2.03e-05,0.0,0.0
Pai Eu Pequei,Clayton Queiroz,0.528,0.6,0.319,120.2
Milonga de Ojos Dorados (Alfredo Zitarrosa) - Live on Pardelion Music,Jorge Drexler;Sebastián Prada,0.67,0.273,0.443,128.87
說散就散,JC 陳詠桐,0.507,0.627,0.371,139.68
Unshaved Mysteries,Couple Skate,0.21,0.939,0.0865,123.719
Volvio una Noche,Julio Sosa,0.429,0.521,0.76,112.475
革命の馬,Nogizaka46,0.492,0.859,0.477,124.993
The Moment,aswekeepsearching,0.277,0.243,0.0379,150.074
Atlas Campeón (feat. Alejandro Aquino & X-Kantina),Jah Fabio;Rapder;Brandon Lomas;Alejandro Aquino & X-Kantina,0.724,0.78,0.573,92.068
Fate of a Coward,Days N Daze,0.583,0.534,0.943,123.094
On s'en va à la plage,Caillou,0.861,0.574,0.927,108.923
"Verdi: Nabucco, Act 3: ""Va, pensiero"" (Chorus of The Hebrew Slaves)",Giuseppe Verdi;Rizzi;Carlo Rizzi;Orchestra dell'Accademia Nazionale di Santa Cecilia,0.123,0.0794,0.118,73.638
Alive,Empire of the Sun,0.524,0.882,0.399,119.94
Le fou de l'île,Bernard Adamus,0.691,0.843,0.812,90.0
Morenita,HUGEL;Cumbiafrica,0.639,0.769,0.177,123.983
Heart and Crossbones (Remix),Pig Destroyer,0.417,0.965,0.224,116.963
Makes Hanım,Hüsnü Arkan,0.685,0.572,0.655,99.966
Daddy's Child,Grey Skye Evans,0.91,0.65,0.399,135.969
Feigling,Anstandslos & Durchgeknallt;Emi Flemming,0.808,0.748,0.942,129.99
O Idiota,Blind Pigs,0.536,0.92,0.847,107.682
Soundboy Dying,Deekline;Ed Solo;Navigator,0.695,0.937,0.838,175.017
Risen Again (2017 Hardstyle Dna Anthem),Forever Lost;Anklebreaker,0.454,0.95,0.317,150.034
My Feelings,Serhat Durmus;Georgia Ku,0.612,0.542,0.0745,129.773
Bandolera,Nyno Vargas;Omar Montes,0.788,0.728,0.531,94.972
Waves of Fulfilling,Dean Evenson,0.237,0.231,0.212,92.766
Vení Raquel - Vivo en el Palacio de los Deportes,Los Auténticos Decadentes,0.377,0.942,0.806,149.122
City Life,Raghav Meattle,0.647,0.45,0.339,94.962
IF,Daniel Chan,0.525,0.352,0.427,127.93
Eggplant Afrobeat,DJ Flex;A-Star;Edouble,0.887,0.728,0.685,138.012
Snake Pit - Stove Mix,Jungle Fire,0.806,0.716,0.87,124.778
No Silêncio,Rose Nascimento,0.414,0.633,0.281,127.986
Uma carta,Ls Jack,0.467,0.725,0.734,170.125
"8 Variations on ‘Ein Weib ist das herrlichste Ding’ by B. Schack in F, K.613: 1. Theme",Wolfgang Amadeus Mozart;Danielle Laval,0.496,0.0441,0.541,135.118
La vie en rose,Andrea Bocelli;Édith Piaf,0.344,0.404,0.441,80.778
Mně neujel vlak,Medooza,0.743,0.44,0.806,111.997
Tongue & Cheek,Ethanol Blend,0.444,0.644,0.806,157.423
BALD!,JPEGMAFIA,0.594,0.917,0.675,154.703
Lumen,Matteo Tura,0.498,0.909,0.0396,100.01
Kotiseutu Pohjolassa,Esko Rahkonen,0.498,0.55,0.576,106.896
Já fui uma brasa,Casuarina;Frejat,0.457,0.563,0.781,93.077
All This Time,OneRepublic,0.413,0.374,0.105,144.93
Nevermore,Morbid Angel,0.546,0.897,0.244,116.957
Tell me,milet,0.666,0.481,0.336,75.021
So Good,Halsey,0.576,0.627,0.311,164.998
Lui Lui,Tasha & Tracie;Mu540;Febem;ONNiKA,0.938,0.552,0.66,119.984
"Khamoshiyan (From ""Khamoshiyan"")",Jeet Gannguli;Arijit Singh,0.524,0.52,0.259,143.885
Queue,One True God;Not The Father,0.752,0.874,0.394,119.03
Pump this Party,Paul Elstak,0.645,0.886,0.391,167.829
Peere Borna,Sabke Morde,0.282,0.905,0.282,143.991
Manila,Maribou State,0.715,0.612,0.345,124.022
Camisa Rosa,Vitor & Cadu;Durval e Davi,0.457,0.687,0.578,182.848
Fire,Kasabian,0.525,0.742,0.179,117.029
"Песня о дружбе - Из т/с ""Гардемарины, вперёд!""",Дмитрий Харатьян,0.403,0.592,0.638,150.897
紅蓮華,LiSA,0.541,0.977,0.263,134.938
Six Contredanses K. 462: No. 4 in D Major,Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,0.56,0.139,0.384,123.669
I Got a Fever,Document One,0.706,0.941,0.353,173.958
Summer Paradise (feat. Sean Paul) - Single Version,Simple Plan;Sean Paul,0.421,0.822,0.751,171.935
Someday You'll Call My Name - Single Version,Hank Williams;Drifting Cowboys,0.525,0.233,0.398,119.922
The 3 Year Old,Steve Rannazzisi,0.518,0.939,0.314,69.79
Intruder,Traitors,0.34,0.914,0.281,126.787
It's Different For Girls,Joe Jackson,0.678,0.774,0.288,118.58
Milk,Beddy Rays,0.322,0.965,0.345,180.092
いつかこの涙が,Little Glee Monster,0.515,0.705,0.352,163.742
Enrico Iv,Astor Piazzolla,0.487,0.564,0.331,86.647
Vaadi Saathukkodi,Sujatha;Kalyani Menon,0.785,0.436,0.927,91.036
Never Tear Us Apart,Paloma Faith,0.532,0.487,0.162,96.335
Just You and Me,Tracy Lawrence,0.585,0.34,0.26,100.379
Numero Uno,Jahyanai;Meryl,0.647,0.655,0.682,146.073
Rezo Por Vos,Luis Alberto Spinetta,0.609,0.824,0.435,118.534
Sou Eu,Diogo Nogueira;Chico Buarque;Hamilton De Holanda,0.749,0.672,0.853,94.084
Grinder of Fools,P.L.F.,0.255,0.996,0.112,110.064
Afterlife,One True God,0.702,0.741,0.271,122.006
Cabelo Loiro,Almir Sater,0.733,0.297,0.963,143.234
The Circus Is in Town,Patton Oswalt,0.526,0.943,0.311,168.161
Salut Sandro,Ivan Bielsa,0.536,0.0899,0.0844,105.901
Korpens Saga,Finntroll,0.366,0.983,0.464,97.571
God Is Dead (Meet The Kids),British India,0.445,0.834,0.272,125.482
Senta Aqui,Dodô Pressão,0.874,0.818,0.867,130.002
Glad You Exist - Acoustic,Dan + Shay,0.538,0.386,0.653,184.022
Linda Andahuaylina,Dúo Hnos. Gaitán Castro,0.737,0.786,0.851,88.924
Ψ発見伝!,Dempagumi.Inc,0.608,0.899,0.789,95.026
Floating Spheres,Alphaxone,0.151,0.215,0.034,106.592
Colo de Mãe (Ao Vivo),Frei Gilson,0.477,0.592,0.413,75.505
Got Love,Tove Lo,0.682,0.785,0.427,101.983
Jajaja,Veronica Maggio,0.571,0.402,0.247,97.61
"Nacchite Ye Panaina (From ""Dohchay"")",Arijit Singh,0.654,0.713,0.548,134.985
Ramacandram,T. M. Krishna,0.656,0.533,0.912,83.074
スタイナー(Introduction)~逃亡者 - Remastered 2022,Eikichi Yazawa,0.66,0.566,0.484,128.955
Madrigal,Jorge Muñiz;Margarita la diosa de la cumbia,0.678,0.391,0.409,112.042
Bienvenidos al Tren,2 minutos,0.446,0.952,0.554,100.954
River Styx,Black Rebel Motorcycle Club,0.539,0.904,0.445,120.096
A Saudade Que Ficou - O Lencinho,Luiz Ayrao,0.705,0.755,0.887,103.92
SKETCH,Kiro Akiyama,0.614,0.752,0.718,93.976
Behemoth,Gost,0.551,0.982,0.175,128.966
Good Things Fall Apart vs. Sad Songs (With Said The Sky feat. Annika Wells),ILLENIUM;Jon Bellion;Said The Sky;Annika Wells,0.563,0.555,0.267,144.336
Adrenalized 2016 (feat. Lexi),S3RL;Lexi,0.571,0.978,0.693,164.936
Hacking to the Gate - symphonic ver.,いとうかなこ,0.416,0.614,0.301,80.371
Bardak Taşıyor,Can Bonomo,0.72,0.8,0.879,104.011
L'aventurier,Indochine,0.556,0.909,0.633,167.101
Vou Te Escrever Um Rap - Ao Vivo,Atitude 67,0.712,0.823,0.765,161.885
More,Jan Blomqvist;Elena Pitoulis,0.709,0.528,0.113,124.027
Gott der Panzer,Eisregen,0.375,0.939,0.163,120.195
Dodo,Laus Høybye;Krummerne,0.756,0.577,0.889,130.812
NOW,Catz 'n Dogz,0.802,0.863,0.202,125.0
Can't Help Falling In Love,André Rieu;Johann Strauss Orchestra,0.0805,0.251,0.0525,81.644
あの日の夜の冷たい雨,Seiko Matsuda,0.567,0.455,0.31,133.923
Wishing,Dan Gibson's Solitudes,0.406,0.225,0.143,107.191
Criminal Mambo,Patricio Rey y sus Redonditos de Ricota,0.338,0.596,0.314,96.923
Vampires,Voilaaa;Hawa;Fouley Badiaga,0.879,0.731,0.945,119.997
Black November,Shamrain,0.408,0.71,0.0495,97.006
月亮代表我的心,Teresa Teng,0.447,0.32,0.349,78.09
Got The Rhythm (feat. Beardyman),A.Skillz;Krafty Kuts;Beadyman;Beardyman,0.729,0.944,0.708,110.083
I'm Tired,Webb Pierce,0.621,0.475,0.917,128.376
Sonho por Sonho / Desculpe Mas Eu Vou Chorar (Ao Vivo),Ícaro e Gilmar,0.443,0.606,0.496,144.118
Zess In Peace,K Lion,0.75,0.48,0.171,100.092
Miracle Maker - Matt Guy Remix,Dom Dolla;Clementine Douglas;Matt Guy,0.78,0.929,0.484,130.03
Maybe,Janis Joplin,0.4,0.35,0.328,83.389
Ya No Te Quiero (En Vivo),Ana Torroja,0.667,0.868,0.88,92.036
Inner Space - Original Mix,Apex,0.451,0.894,0.0874,172.015
都幾歲了 (電視劇【幸福一家人】片尾曲),Ella Chen,0.624,0.499,0.305,115.986
I Am In Love,Pritam;KK;Dominique,0.702,0.694,0.76,130.024
Redenção,Aline Barros,0.33,0.396,0.138,136.809
Sunset Driver,Vanilla Beach,0.714,0.203,0.352,90.023
Oh! Darling - Remastered 2009,The Beatles,0.422,0.656,0.549,173.93
The Namesake Reprise,Nitin Sawhney,0.524,0.224,0.148,130.093
Chain,Vybz Kartel,0.821,0.799,0.384,109.946
"Goodnight, Irene",Ernest Tubb;Red Foley;Sunshine Trio,0.671,0.178,0.589,128.919
Far from Heaven,Fit For An Autopsy,0.342,0.968,0.239,91.578
Boogien I Blodet,Eva Eastwood,0.504,0.827,0.886,186.334
Guachita,Tunacola,0.418,0.655,0.376,73.825
Freedom For The Stallion,George Winston,0.398,0.176,0.187,134.289
Cocaine,Pink Sweat$,0.614,0.228,0.146,109.569
Alligator Chomp (New Version),Jack Hartmann,0.91,0.415,0.564,97.987
青春狂騒曲,Sambomaster,0.297,0.934,0.421,136.254
Até Falar Chega (feat. Matheus & Kauan) - Ao Vivo,Diego & Victor Hugo;Matheus & Kauan,0.411,0.863,0.625,155.18
Sodium Nitrite,Kyle Kinane,0.454,0.77,0.255,61.77
Só Agora,Pitty,0.532,0.488,0.156,87.97
Legends Are Made,Sam Tinnesz,0.553,0.89,0.674,87.871
I don't see nobody but you,Yusei,0.576,0.355,0.332,107.015
Fly Away From Here,Aerosmith,0.387,0.686,0.171,142.091
Ganesha,Henrique Camacho;Zigma,0.509,0.554,0.235,131.003
Rosappu Chinna Rosappu - Female Vocals,Sujatha,0.425,0.438,0.755,182.792
Yeh Zindagi Hai,The Local Train,0.633,0.616,0.7,131.072
Bitter Heart,Zee Avi,0.74,0.377,0.408,78.988
Skitsamma,Allyawan,0.653,0.574,0.611,87.025
Habits (Stay High) - The Chainsmokers Radio Edit,Tove Lo;The Chainsmokers,0.678,0.825,0.0388,128.018
Kangna,Dr Zeus;Master Rakesh;Shortie;Deepti,0.756,0.858,0.764,101.984
Heavenly Harps,Matooma,0.207,0.0537,0.0325,68.227
Brace It (feat. Ed Sheeran),Ishawna;Ed Sheeran,0.845,0.706,0.498,97.035
Antibambi,JBABE,0.68,0.493,0.476,139.988
Rape of God,EXNUN,0.392,0.932,0.356,117.961
Aeroscope,VNV Nation,0.561,0.756,0.199,110.003
Dói Sem Tanto,Elenco Original Do Filme Ana e Vitória,0.426,0.374,0.268,147.972
My Nation - Original Mix,Roy Davis Jr.;Terry Dexter,0.803,0.847,0.874,122.0
Çaresiz Şehir,Bahadır Sağlam,0.393,0.546,0.422,163.916
Lordly - Instrumental Mix,Feder,0.748,0.596,0.472,115.006
Stay Downtown,Cole Swindell,0.336,0.756,0.237,77.807
Meine Welt,PEPO,0.668,0.582,0.569,103.988
cinema,=LOVE,0.547,0.868,0.791,197.712
Million Dollar Baby,Ava Max,0.667,0.858,0.641,133.039
WORLD PARADE,NEO JAPONISM,0.505,0.865,0.395,180.203
Hagamos Las Paces,Jd Pantoja,0.859,0.639,0.676,101.027
My Demons,STARSET,0.274,0.652,0.1,173.008
El día que me quieras,Plácido Domingo;Paloma San Basilio,0.272,0.597,0.121,110.295
Lover of Mine,Louyah,0.633,0.424,0.258,86.0
Take a Hold,Calippo,0.824,0.865,0.791,124.002
Mazhaiyeah,Havoc Mathan;Havoc Naven,0.602,0.793,0.836,114.962
Halving The Compass - Sampler Version,Helios,0.347,0.244,0.211,115.044
Any How,Llorca,0.788,0.578,0.282,124.019
"Gatita Loca (Remix) [feat. Mackie, Kevin Roldan, Yomo & Jowell & Randy]",Ronald El Killa;Mackie;Kevin Roldan;Yomo;Jowell & Randy,0.848,0.685,0.746,92.021
The Heart of Life,John Mayer,0.495,0.238,0.357,175.958
